combination_id,tweet_1,tweet_2
1,1,2
2,1,3
3,1,4
4,1,5
5,1,6
6,1,7
7,1,8
8,1,9
9,1,10
10,1,11
11,1,12
12,1,13
13,1,14
14,1,15
15,1,16
16,1,17
17,1,18
18,1,19
19,1,20
20,1,21
21,1,22
22,1,23
23,1,24
24,1,25
25,1,26
26,1,27
27,1,28
28,1,29
29,1,30
30,1,31
31,1,32
32,1,33
33,1,34
34,1,35
35,1,36
36,1,37
37,1,38
38,1,39
39,1,40
40,1,41
41,1,42
42,1,43
43,1,44
44,1,45
45,1,46
46,1,47
47,1,48
48,1,49
49,1,50
50,1,51
51,1,52
52,1,53
53,1,54
54,1,55
55,1,56
56,1,57
57,1,58
58,1,59
59,1,60
60,1,61
61,1,62
62,1,63
63,1,64
64,1,65
65,1,66
66,1,67
67,1,68
68,1,69
69,1,70
70,1,71
71,1,72
72,1,73
73,1,74
74,1,75
75,1,76
76,1,77
77,1,78
78,1,79
79,1,80
80,1,81
81,1,82
82,1,83
83,1,84
84,1,85
85,1,86
86,1,87
87,1,88
88,1,89
89,1,90
90,1,91
91,1,92
92,1,93
93,1,94
94,1,95
95,1,96
96,1,97
97,1,98
98,1,99
99,1,100
100,2,3
101,2,4
102,2,5
103,2,6
104,2,7
105,2,8
106,2,9
107,2,10
108,2,11
109,2,12
110,2,13
111,2,14
112,2,15
113,2,16
114,2,17
115,2,18
116,2,19
117,2,20
118,2,21
119,2,22
120,2,23
121,2,24
122,2,25
123,2,26
124,2,27
125,2,28
126,2,29
127,2,30
128,2,31
129,2,32
130,2,33
131,2,34
132,2,35
133,2,36
134,2,37
135,2,38
136,2,39
137,2,40
138,2,41
139,2,42
140,2,43
141,2,44
142,2,45
143,2,46
144,2,47
145,2,48
146,2,49
147,2,50
148,2,51
149,2,52
150,2,53
151,2,54
152,2,55
153,2,56
154,2,57
155,2,58
156,2,59
157,2,60
158,2,61
159,2,62
160,2,63
161,2,64
162,2,65
163,2,66
164,2,67
165,2,68
166,2,69
167,2,70
168,2,71
169,2,72
170,2,73
171,2,74
172,2,75
173,2,76
174,2,77
175,2,78
176,2,79
177,2,80
178,2,81
179,2,82
180,2,83
181,2,84
182,2,85
183,2,86
184,2,87
185,2,88
186,2,89
187,2,90
188,2,91
189,2,92
190,2,93
191,2,94
192,2,95
193,2,96
194,2,97
195,2,98
196,2,99
197,2,100
198,3,4
199,3,5
200,3,6
201,3,7
202,3,8
203,3,9
204,3,10
205,3,11
206,3,12
207,3,13
208,3,14
209,3,15
210,3,16
211,3,17
212,3,18
213,3,19
214,3,20
215,3,21
216,3,22
217,3,23
218,3,24
219,3,25
220,3,26
221,3,27
222,3,28
223,3,29
224,3,30
225,3,31
226,3,32
227,3,33
228,3,34
229,3,35
230,3,36
231,3,37
232,3,38
233,3,39
234,3,40
235,3,41
236,3,42
237,3,43
238,3,44
239,3,45
240,3,46
241,3,47
242,3,48
243,3,49
244,3,50
245,3,51
246,3,52
247,3,53
248,3,54
249,3,55
250,3,56
251,3,57
252,3,58
253,3,59
254,3,60
255,3,61
256,3,62
257,3,63
258,3,64
259,3,65
260,3,66
261,3,67
262,3,68
263,3,69
264,3,70
265,3,71
266,3,72
267,3,73
268,3,74
269,3,75
270,3,76
271,3,77
272,3,78
273,3,79
274,3,80
275,3,81
276,3,82
277,3,83
278,3,84
279,3,85
280,3,86
281,3,87
282,3,88
283,3,89
284,3,90
285,3,91
286,3,92
287,3,93
288,3,94
289,3,95
290,3,96
291,3,97
292,3,98
293,3,99
294,3,100
295,4,5
296,4,6
297,4,7
298,4,8
299,4,9
300,4,10
301,4,11
302,4,12
303,4,13
304,4,14
305,4,15
306,4,16
307,4,17
308,4,18
309,4,19
310,4,20
311,4,21
312,4,22
313,4,23
314,4,24
315,4,25
316,4,26
317,4,27
318,4,28
319,4,29
320,4,30
321,4,31
322,4,32
323,4,33
324,4,34
325,4,35
326,4,36
327,4,37
328,4,38
329,4,39
330,4,40
331,4,41
332,4,42
333,4,43
334,4,44
335,4,45
336,4,46
337,4,47
338,4,48
339,4,49
340,4,50
341,4,51
342,4,52
343,4,53
344,4,54
345,4,55
346,4,56
347,4,57
348,4,58
349,4,59
350,4,60
351,4,61
352,4,62
353,4,63
354,4,64
355,4,65
356,4,66
357,4,67
358,4,68
359,4,69
360,4,70
361,4,71
362,4,72
363,4,73
